#	X	generator	imperatywna	skladana	funkcyjna
100	8.689699825481512e-05	9.436199979973026e-05	9.010299982037395e-05	0.0001053830019372981
300	0.0005701089976355433	0.0005304119986249134	0.0005972910003038123	0.0005569029999605846
500	0.0012758080010826234	0.0013042030004726257	0.0013125689984008204	0.0013331589980225544
700	0.0024271260008390527	0.00254954200136126	0.0024219059996539727	0.0024789460003376007
900	0.0037140849999559578	0.0039905369994812645	0.003866939001454739	0.0038671999973303173
1100	0.00562688900026842	0.00612234499931219	0.006006220002745977	0.006029324998962693
1300	0.007518684000388021	0.0083260289975442	0.00861775200246484	0.009095031000470044
1500	0.009918526997353183	0.011201178000192158	0.012227014001837233	0.01252839600056177
1700	0.013652319998072926	0.014359132001118269	0.015084999999089632	0.01283307199992123
1900	0.015344830997491954	0.016908514000533614	0.016970732998743188	0.01617379899835214
2100	0.01844378100213362	0.02059239099980914	0.02039696300198557	0.019068405003054067
2300	0.022388981000403874	0.025066187998163514	0.023902345998067176	0.022718716998497257
2500	0.026142190999962622	0.028312122001807438	0.02858880499843508	0.0261090569983935
2700	0.030109222996543394	0.032471935999637935	0.032398053001088556	0.030866101002175128
2900	0.035300365001603495	0.037072207996970974	0.037384107999969274	0.034937355001602555
3100	0.038644836997264065	0.042724065999209415	0.04256294500009972	0.04036241499852622
3300	0.04304573599802097	0.04856262300017988	0.04626260300210561	0.04427786800079048
3500	0.04774282400103402	0.05361171999902581	0.05401396500019473	0.04971112600105698
3700	0.0544555760025105	0.05971592999776476	0.059636785998009145	0.05817059200126096
3900	0.0668639199975587	0.06702628199855099	0.06585794200145756	0.06212590299764997
